Evaluation,FEN
7.4,r1bq3k/p2nr3/1pp3Q1/3p2P1/3P4/P1PB2N1/2P2PP1/R4K2 w - - 1 21
7.2,r1bq3k/p2nr3/1pp3Q1/3p1NP1/3P4/P1PB4/2P2PP1/R4K2 b - - 2 21
7.5,r2q3k/p2nr3/bpp3Q1/3p1NP1/3P4/P1PB4/2P2PP1/R4K2 w - - 3 22
100,r1bq1n1k/p3r3/1pp3Q1/3p1NP1/3P4/P1PB4/2P2PP1/R4K2 w - - 3 22
100,r1bq1n1k/p3r3/1pp2Q2/3p1NP1/3P4/P1PB4/2P2PP1/R4K2 b - - 4 22
100,r1bq1n2/p3r2k/1pp2Q2/3p1NP1/3P4/P1PB4/2P2PP1/R4K2 w - - 5 23
100,r1bq1n2/p3N2k/1pp2Q2/3p2P1/3P4/P1PB4/2P2PP1/R4K2 b - - 0 23
100,r2q1n2/p3N2k/1pp2Q2/3p1bP1/3P4/P1PB4/2P2PP1/R4K2 w - - 1 24
100,r2q1n2/p3N2k/1pp4Q/3p1bP1/3P4/P1PB4/2P2PP1/R4K2 b - - 2 24
0.1,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1
0.2,rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2
0,rnbqkbnr/pppp1ppp/8/4p3/8/1P6/PBPPPPPP/RN1QKBNR b KQkq - 1 2
0.2,r1bqkbnr/pppp1ppp/2n5/4p3/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 2 3
0,r1bqkbnr/pppp1ppp/2n5/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3
0.1,r1bqkbnr/ppp2ppp/2n5/3pp3/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq - 0 4
0.3,r1bqk1nr/ppp2ppp/2nb4/1B1pp3/8/1P2P3/PBPP1PPP/RN1QK1NR w KQkq - 2 5
0,r1bqkbnr/ppp2ppp/2n5/1B1pp3/8/1P2P3/PBPP1PPP/RN1QK1NR b KQkq - 1 4
0.2,r1bqk1nr/ppp2ppp/2nb4/1B1pp3/8/1P2PN2/PBPP1PPP/RN1QK2R b KQkq - 3 5
0.2,r1b1k1nr/ppp1qppp/2nb4/1B1pp3/8/1P2PN2/PBPP1PPP/RN1QK2R w KQkq - 4 6
0.4,r1b1k1nr/ppp1qppp/2nb4/1B1pp3/2P5/1P2PN2/PB1P1PPP/RN1QK2R b KQkq - 0 6
